17,접두,코드,code,2026-05-25,수량,평균단가,현재가,수익률,매입금액,평가금액,평가손익,통화,환율,원평가,비중,"누적
비중"
1,krx:,krx:428510,428510,KODEX 차이나AI테크액티브,1718,"26,940","29,450",9%,"46,282,920","50,595,100","4,312,180",WON,1,"50,595,100",31%,31%
2,krx:,krx:390390,390390,KODEX 미국반도체,832,"54,344","59,070",9%,"45,214,208","49,146,240","3,932,032",WON,1,"49,146,240",30%,60%
3,krx:,krx:396520,396520,TIGER 차이나반도체FACTSET,3218,14353,16300,0.14,46187954,52453400,6265446,WON,1,52453400,0.32,0.92
4,krx:,krx:243880,243880,TIGER 200IT레버리지,10,60192,574410,8.54,601920,5744100,5142180,WON,1,5744100,0.03,0.96
5,krx:,krx:122630,122630,KODEX 레버리지,10,34380,171400,3.99,343800,1714000,1370200,WON,1,1714000,0.01,0.97
6,krx:,krx:494310,494310,KODEX 반도체레버리지,10,22510,153320,5.81,225100,1533200,1308100,WON,1,1533200,0.01,0.98
7,krx:,krx:423920,423920,TIGER 미국필라델피아반도체레버리지(합성),10,44279,118610,1.68,442790,1186100,743310,WON,1,1186100,0.01,0.98
8,krx:,krx:488080,488080,TIGER 반도체TOP10레버리지,10,26254,81150,2.09,262540,811500,548960,WON,1,811500,0,0.99
9,krx:,krx:465610,465610,ACE 미국빅테크TOP7 PLUS레버리지(합성),10,36650,50935,0.39,366500,509350,142850,WON,1,509350,0,0.99
10,krx:,krx:418660,418660,TIGER 미국나스닥100레버리지(합성),10,32862,49470,0.51,328620,494700,166080,WON,1,494700,0,1
11,krx:,krx:461910,461910,PLUS 미국테크TOP10레버리지(합성),10,37471,47010,0.25,374710,470100,95390,WON,1,470100,0,1
12,krx:,krx:414780,414780,TIGER 차이나과창판STAR50(합성),7,14811,16400,0.11,103677,114800,11123,WON,1,114800,0,1
13,krx:,krx:438320,438320,TIGER 차이나항셍테크레버리지(합성 H),10,7472,6085,-0.19,74720,60850,-13870,WON,1,60850,0,1
14,krx:,krx:381170,381170,TIGER 미국테크TOP10 INDXX,1,21823,34980,0.6,21823,34980,13157,WON,1,34980,0,1
15,krx:,krx:487230,487230,KODEX 미국AI전력핵심인프라,1,11860,26535,1.24,11860,26535,14675,WON,1,26535,0,1
16,krx:,krx:233740,233740,KODEX 코스닥150레버리지,1,16460,16135,-0.02,16460,16135,-325,WON,1,16135,0,1
17,krx:,krx:371160,371160,TIGER 차이나항셍테크,1,9291,8110,-0.13,9291,8110,-1181,WON,1,8110,0,1
